init done.
NumberOfStreams: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
AddArtist: SUCCESS
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: INVALID_INPUT
AddToSongCount: FAILURE
AddArtist: FAILURE
AddToSongCount: INVALID_INPUT
AddToSongCount: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
AddToSongCount: SUCCESS
AddToSongCount: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: SUCCESS
NumberOfStreams: 0
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
AddArtist: SUCCESS
AddArtist: SUCCESS
RemoveArtist: FAILURE
AddArtist: SUCCESS
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
AddArtist: SUCCESS
RemoveArtist: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
AddArtist: SUCCESS
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: 0
AddToSongCount: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: INVALID_INPUT
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
RemoveArtist: FAILURE
AddArtist: SUCCESS
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
AddArtist: SUCCESS
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
AddToSongCount: FAILURE
RemoveArtist: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: FAILURE
NumberOfStreams: 0
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
GetRecommendedSongs: FAILURE
GetRecommendedSongs: FAILURE
NumberOfStreams: FAILURE
AddArtist: SUCCESS
AddArtist: SUCCESS
RemoveArtist: FAILURE
AddToSongCount: FAILURE
AddToSongCount: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: FAILURE
RemoveArtist: SUCCESS
NumberOfStreams: FAILURE
RemoveArtist: FAILURE
NumberOfStreams: INVALID_INPUT
GetRecommendedSongs: SUCCESS
Artist	|	Song
82	|	8
157	|	21
6	|	0
6	|	1
6	|	2
6	|	3
6	|	4
6	|	5
